TickCount,TickTime(ms)
1,107.2862
2,425.23709999999994
3,232.7695000000001
4,226.97569999999996
5,210.55349999999987
6,206.9574
7,201.70060000000012
8,197.10480000000007
9,209.66879999999992
10,205.9070999999999
11,227.23460000000023
12,220.60629999999992
13,249.67270000000008
14,256.7451000000001
15,263.8074999999999
16,264.98160000000007
17,265.9752999999996
18,251.0045
19,253.58570000000054
20,224.67439999999988
21,204.3081999999995
22,178.54740000000038
23,158.6794
24,140.1914999999999
25,136.40610000000015
26,135.92399999999998
27,127.5672999999997
28,121.3078000000005
29,117.7543999999998
30,115.1948999999995
31,113.8057000000008
32,118.11569999999938
33,132.92240000000038
34,112.03200000000015
35,111.66979999999967
36,124.86790000000019
37,119.49129999999968
38,150.6886999999997
39,121.59500000000025
40,126.72029999999995
41,128.11210000000028
42,129.1867999999995
43,134.32960000000003
44,137.09890000000087
45,144.27549999999974
46,146.41420000000016
47,150.36599999999999
48,156.2472999999991
49,156.2439000000013
50,160.26449999999932
51,162.08020000000033
52,162.0002000000004
53,169.45669999999882
54,170.01200000000063
55,171.3047000000006
56,171.68049999999857
57,176.3202000000001
58,178.94660000000113
59,177.2624999999989
60,184.28290000000015
61,192.39940000000024
62,191.96630000000005
63,192.9907000000003
64,193.11169999999947
65,191.53429999999935
66,200.03480000000127
67,199.264799999999
68,204.26710000000094
69,209.26000000000022
70,211.72539999999935
71,214.3804
72,214.70930000000044
73,221.7471000000005
74,218.90929999999935
75,219.29060000000027
76,217.9427999999989
77,236.79809999999998
78,234.0500000000011
79,232.05929999999898
80,243.32630000000063
81,229.01529999999912
82,236.22600000000057
83,233.1918999999998
84,230.67259999999987
85,227.8132000000005
86,234.52729999999974
87,229.0632999999998
88,230.33520000000135
89,230.1815999999999
90,233.07240000000093
91,230.89429999999993
92,231.61579999999958
93,233.3672000000006
94,237.23499999999694
95,240.11449999999968
96,246.0508000000009
97,238.71190000000206
98,240.43439999999828
99,244.5485000000008
100,249.10359999999855
101,247.9897000000019
102,252.950499999999
103,247.2632999999987
104,251.07350000000224
105,248.82909999999902
106,247.58580000000075
107,245.6794000000009
108,249.11579999999958
109,250.41149999999834
110,251.53759999999966
111,253.27140000000145
112,251.16790000000037
113,252.1984999999986
114,257.77540000000226
115,258.23449999999866
116,265.309699999998
117,270.7169000000031
118,278.3282999999974
119,276.1751000000004
120,275.07050000000163
121,273.8171000000002
122,277.3332999999984
123,284.14410000000134
124,284.10229999999865
125,284.1948000000011
126,304.6774000000005
127,289.9406999999992
128,299.6406999999999
129,293.98479999999836
130,296.6756999999998
131,310.9756000000016
132,303.4553999999989
133,298.5316000000021
134,299.4336000000003
135,299.1888999999974
136,311.6114000000016
137,314.4519
138,315.52950000000055
139,313.803100000001
140,306.0757999999987
141,312.79089999999997
142,316.9464999999982
143,303.9844000000012
144,305.4248000000007
145,304.3281999999999
146,300.47780000000057
147,308.338499999998
148,308.45650000000023
149,306.9493999999977
150,309.5011000000013
151,306.22810000000027
152,300.4873000000007
153,307.8796000000002
154,292.4447999999975
155,291.43360000000393
156,289.03259999999864
157,290.39110000000073
158,288.6599999999962
159,283.5544000000009
160,289.1445999999996
161,290.86850000000413
162,291.6877000000022
163,288.40120000000024
164,287.84389999999985
165,292.04559999999765
166,298.2123999999967
167,301.23830000000453
168,295.1840000000011
169,289.36729999999807
170,286.6417000000001
171,277.5136999999959
172,286.41710000000603
173,276.4521999999997
174,277.6345999999976
175,283.1278999999995
176,300.21080000000075
177,279.3882999999987
178,285.2266000000018
179,288.9707999999955
180,283.89130000000296
181,288.3150000000023
182,280.5158999999985
183,285.0764999999956
184,282.12920000000304
185,293.70270000000164
186,287.5820999999996
187,282.82020000000193
188,281.7554999999993
189,315.04929999999877
190,289.70640000000276
191,284.38099999999395
192,286.0929000000033
193,288.2727999999988
194,293.15149999999994
195,281.9982000000018
196,284.07189999999537
197,290.6935000000012
198,291.86850000000413
199,295.66449999999895
200,289.808100000002
201,291.5233999999982
202,288.7600999999995
203,285.1203000000023
204,282.41919999999664
205,287.4118000000017
206,281.91359999999986
207,284.4426999999996
208,287.83120000000054
209,286.86269999999786
210,286.1696000000011
211,290.0717000000004
212,288.3491999999969
213,289.15499999999884
214,286.8026000000027
215,301.16859999999724
216,293.33350000000064
217,310.58520000000135
218,297.5362000000023
219,316.747199999998
220,298.6431999999986
221,300.6586000000025
222,301.7088999999978
223,302.38670000000275
224,312.00450000000274
225,307.8275999999969
226,305.1354999999967
227,310.014700000007
228,305.9105999999956
229,313.32940000000235
230,312.5407999999952
231,311.0123999999996
232,307.07340000000113
233,302.1278999999995
234,307.099000000002
235,308.1912000000011
236,302.29529999999795
237,306.4685000000027
238,296.1912999999986
239,297.1316999999981
240,294.56210000000283
241,291.0271999999968
242,289.5630000000019
243,288.60659999999916
244,292.7462000000014
245,293.6750000000029
246,294.06529999999475
247,299.56720000000496
248,300.00359999999637
249,291.97839999999997
250,294.74960000000283
251,293.9976999999999
252,296.8729000000021
253,293.84419999999955
254,294.252999999997
255,295.8208000000013
256,288.15750000000116
257,289.3784999999989
258,289.3715000000011
259,293.0284000000029
260,293.9719999999943
261,293.86819999999716
262,295.1091000000015
263,293.57910000000265
264,297.4097000000038
265,297.95040000000154
266,297.64049999999406
267,304.78399999999965
268,306.3945999999996
269,322.45530000000144
270,309.5770000000048
271,304.6287999999913
272,309.46100000001024
273,303.3829999999871
274,304.29959999999846
275,303.96710000000894
276,304.5478000000003
277,310.5795999999973
278,309.4890000000014
279,312.7075999999943
280,314.625
281,313.6189000000013
282,313.2982000000047
283,309.99559999999474
284,314.9750000000058
285,315.0610999999917
286,317.0578999999998
287,313.7331000000122
288,314.690499999997
289,311.7676999999967
290,312.126700000008
291,309.46699999998964
292,311.8905000000086
293,311.2173999999941
294,313.43619999999646
295,307.77390000000014
296,311.59240000000864
297,319.64839999999094
298,325.41410000000906
299,316.0987999999925
300,314.78979999999865
301,337.1426000000065
302,310.1426999999967
303,314.69169999999576
304,319.18270000000484
305,308.9676000000036
306,298.5488000000041
307,298.882099999988
308,307.3323999999993
309,304.8890000000101
310,301.2795999999944
311,307.2994000000035
312,309.366200000004
313,301.44379999999364
314,295.1264999999985
315,315.29090000000724
316,293.0787999999884
317,294.3116000000009
318,290.5716000000102
319,301.76260000000184
320,293.2306999999855
321,293.4764000000141
322,293.74479999998584
323,295.81380000000354
324,299.71689999999944
325,302.75800000000163
326,296.29039999999804
327,306.69310000000405
328,305.8246999999974
329,301.23709999999846
330,295.1128000000026
331,301.33950000000186
332,298.11239999999816
333,290.47209999999905
334,298.1872000000003
335,288.3738000000012
336,285.2697999999946
337,285.23880000000645
338,280.0481
339,292.09330000000773
340,281.64779999999155
341,283.22359999999753
342,291.14890000000014
343,292.245900000009
344,284.7448000000004
345,287.6386999999959
